SCR_ELM_ID	SERVICE_NAME	ADAPTER	PREPARE_INPUT	SCR_ID	ORD_IN_GRP	VERSION	IS_DELETED	CREATED_BY	CREATED_AT	UPDATED_BY	UPDATED_AT
1101052	com.remainz.web.service.web.GetAccountService			1101051	2	1	0	data_loader	2024-10-20 00:00:00	data_loader	2024-10-20 00:00:00
1101053	com.remainz.web.service.web.CreateHtmlService			1101051	3	1	0	data_loader	2024-10-20 00:00:00	data_loader	2024-10-20 00:00:00
1101101	com.remainz.web.service.web.GetRelatedRecordService			1101101	1	1	0	data_loader	2024-11-17 00:00:00	data_loader	2024-11-17 00:00:00
1101102	com.remainz.web.service.web.GetAccountService			1101101	2	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-11-17 00:00:00
1101103	com.remainz.web.service.web.CreateHtmlService			1101101	3	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-11-17 00:00:00
1101151	com.remainz.web.service.web.DeleteRecordService			1101151	1	1	0	data_loader	2024-10-14 00:00:00	data_loader	2024-10-14 00:00:00
1101152	com.remainz.web.service.web.GetAccountService			1101151	2	1	0	data_loader	2024-10-14 00:00:00	data_loader	2024-10-14 00:00:00
1101153	com.remainz.web.service.web.CreateHtmlService			1101151	3	1	0	data_loader	2024-10-14 00:00:00	data_loader	2024-10-14 00:00:00
1101201	com.remainz.web.service.web.GetRelatedRecordService			1101201	1	1	0	data_loader	2024-11-09 00:00:00	data_loader	2024-11-09 00:00:00
1101202	com.remainz.web.service.web.GetAccountService			1101201	2	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-11-09 00:00:00
1101203	com.remainz.web.service.web.CreateHtmlService			1101201	3	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-11-09 00:00:00
1101251	com.remainz.web.service.web.UpdateRecordService			1101251	1	1	0	data_loader	2024-10-20 00:00:00	data_loader	2024-10-20 00:00:00
1101252	com.remainz.web.service.web.GetAccountService			1101251	2	1	0	data_loader	2024-10-20 00:00:00	data_loader	2024-10-20 00:00:00
1101253	com.remainz.web.service.web.CreateHtmlService			1101251	3	1	0	data_loader	2024-10-20 00:00:00	data_loader	2024-10-20 00:00:00
1101301	com.remainz.web.service.web.GetAccountService			1101301	1	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-09-16 00:00:00
1101302	com.remainz.web.service.web.CreateHtmlService			1101301	2	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-09-16 00:00:00
1101401	com.remainz.web.service.web.GetAccountService			1101401	1	1	0	data_loader	2024-09-23 00:00:00	data_loader	2024-10-14 00:00:00
1101402	com.remainz.web.service.web.CreateHtmlService			1101401	2	1	0	data_loader	2024-09-23 00:00:00	data_loader	2024-10-14 00:00:00
